#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [249,249] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [261,261] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1409727600000.0000	374.9000	232.6000	483.7500	1232.5000	482.0000	1706.0000	3255.5000	296.8000	731.5000	2290.0000	209.7000	1980.0000	3782.0000	504.5000	441.3000	792.5000	4577.0000	884.5000	1488.0000	2556.0000	453.5000	1580.0000	175.3000	910.0000	1039.0000	387.4000	325.2000	1364.0000	
1416556800000.0000	403.5000	194.4000	448.2000	1069.0000	487.9000	1603.0000	3042.0000	259.7000	505.0000	2617.0000	227.8000	2065.0000	3324.0000	443.3000	474.2000	730.5000	4741.0000	910.0000	1593.0000	2391.0000	465.1000	1380.0000	186.5000	931.5000	1093.0000	380.0000	292.0000	1553.0000	
1405321200000.0000	442.0000	284.4500	503.4000	1183.5000	495.0000	1685.0000	3242.0000	320.0000	794.5000	2136.0000	192.1000	1909.0000	3986.0000	534.0000	435.4000	814.5000	4369.5000	876.5000	1544.0000	2538.5000	418.0000	1501.5000	176.2000	853.0000	1033.0000	386.1000	306.5000	1244.0000	
1415260800000.0000	422.0000	181.5000	435.9000	1025.5000	476.7000	1510.0000	2967.5000	262.2000	507.5000	2531.0000	207.4500	1962.0000	3256.0000	483.9000	470.4000	696.0000	4591.5000	859.5000	1573.0000	2271.0000	456.2000	1329.0000	172.5000	917.0000	1060.0000	371.4000	303.4000	1553.0000	
1392883200000.0000	382.0000	334.5000	499.5500	1096.0000	514.5000	1627.0000	3593.5000	350.8000	780.0000	2451.0000	130.5760	1798.0000	3958.0000	515.0000	503.5000	950.5000	3996.0000	773.0000	1420.0000	2356.5000	400.4000	1554.0000	242.1000	836.0000	1045.0000	415.3000	320.6000	1748.0000	
1397804400000.0000	424.4000	289.7000	482.0500	1134.0000	473.0000	1516.0000	3288.5000	314.0000	867.5000	2235.0000	214.1500	1782.0000	3826.0000	502.0000	434.5000	828.5000	3781.5000	769.5000	1502.0000	2393.0000	389.1000	1547.0000	201.4000	824.0000	1004.0000	369.5000	345.0000	1683.0000	
1412665200000.0000	440.4000	182.6000	441.7500	1082.5000	436.4000	1509.0000	3020.5000	230.2000	600.5000	2328.0000	206.0500	1853.0000	3336.0000	476.7000	404.2000	698.5000	4303.0000	794.5000	1510.0000	2358.0000	450.5000	1375.0000	159.3000	875.5000	973.0000	370.9000	304.6000	1389.0000	
1391587200000.0000	437.6000	315.0500	470.0500	1060.5000	503.0000	1548.0000	3273.5000	349.3000	849.5000	2486.0000	122.7850	1744.0000	3518.0000	492.6000	462.2000	864.0000	3877.0000	714.0000	1342.0000	2208.0000	419.1000	1452.0000	236.2000	779.0000	939.5000	384.5000	313.0000	1661.0000	
1396508400000.0000	404.4000	291.7000	485.1500	1137.0000	479.2000	1516.0000	3316.0000	309.1000	800.0000	2355.0000	219.1500	1818.0000	3852.0000	495.0000	471.6000	845.5000	3917.5000	788.5000	1464.0000	2342.5000	407.2000	1516.5000	207.0000	818.0000	1054.0000	381.6000	328.5000	1791.0000	
1418198400000.0000	391.0000	175.7000	399.6000	872.4000	497.2000	1450.0000	2797.5000	226.4000	379.5000	2744.0000	222.6500	1948.0000	2773.0000	453.6000	475.0000	726.5000	4683.0000	882.0000	1636.0000	2098.5000	461.0000	1207.5000	176.7000	907.0000	1077.0000	410.1000	277.9000	1643.0000	
1415088000000.0000	403.5000	171.8500	430.4000	999.1000	440.0000	1455.0000	2956.5000	241.8000	457.9000	2485.0000	203.5500	1943.0000	3221.0000	475.2000	404.7000	696.0000	4571.5000	842.0000	1565.0000	2220.0000	451.0000	1325.5000	153.3000	912.0000	1049.0000	362.2000	295.9000	1544.0000	
1411369200000.0000	423.0000	203.0000	469.9500	1169.0000	484.8000	1595.0000	3058.5000	278.8000	668.0000	2437.0000	201.5000	1935.0000	3461.0000	512.0000	433.6000	734.5000	4577.5000	841.5000	1530.0000	2500.0000	475.1000	1426.5000	179.0000	892.0000	1072.0000	391.7000	320.0000	1304.0000	
